anchor	addresses	kind	confidence	evidence	notes
consumer_read_byte	0x0A3D-0x0A62	input_byte_consumer_read	high	0A3Dh: clears EE1E bit 7. 0A40h: loads EE22 read pointer. 0A44h: sets F002=C0h. 0A4Ah: reads byte via (HL+), saves to B. 0A4Ch: restores F002=00h. 0A52h: wraps read pointer on VV07 to 8500h. Stores updated EE22. 0A5Dh: loads DE=EE1E. 0A60h: DI; CALT ($00AC) decrements the word at (DE); EI.	F002 must be switched to C0h to access the external RAM where the ring buffer lives. The decrement is done atomically under DI to avoid ISR race conditions.
consumer_flow_control	0x0A63-0x0A99	input_byte_consumer_flow_control	high	0A63h: checks VV09 bit 0 (buffer was full). If not set, skips to 0A99h. If set, checks VV09 bit 6 (serial disabled): if set, takes the F001 disable path at 0A81h. Otherwise checks VV09 bit 2 (8K mode) to select a low-water threshold: 1BEFh for 8K or 00EFh for 1K. If pending is still above threshold, skips to 0A99h. If below threshold, clears VV09 bit 0 and calls 4EB9h (clear software BUSY, send XON).	The hysteresis between the ISR's near-full flag and the consumer's low-water release prevents rapid BUSY/ACK toggling.
consumer_f001_disable	0x0A81-0x0A96	f001_ack_busy_disable_sequence	high	0A81h: DI. Clears VV09 bit 0. Reads F001, clears bit 2 (ACK low), writes, NOP, NOP, clears bit 3 (software BUSY low), writes, NOP, sets bit 2 (ACK high), writes. EI. Unmasks MKL bit 3 (re-enables INTI).	This is the VV09 bit 6 (serial-only) path. When serial is the active interface, buffer-full recovery disables ACK/BUSY via F001 rather than using the XON/XOFF path, because the parallel handshake signals are not relevant.
consumer_byte_return	0x0A99-0x0AB1	input_byte_consumer_return	high	0A99h: recovers byte from B to A. 0A9Ah: loads EE8F (two-byte mask). 0A9Eh: ORs A with high byte of EE8F. 0AA0h: ANDs A with low byte of EE8F. 0AA2h: checks VV09 bit 5 (DC1 pending); if set, returns immediately. 0AA6h: checks VV09 bit 4 (XON/XOFF mode active); if set, returns. 0AAAh: checks for DC1 (11h); if match, loops back to 0A0Bh to consume the DC1 silently. 0AAEh: clears VV09 bit 4 and returns.	EE8F is initialized at 03EEh to 00FFh (OR with 00h, AND with FFh = identity). The DC1/DC3 handling at 0AA2h-0AB1h implements software flow control from the host: DC3 (XOFF, 13h) would set VV09 bit 4; DC1 (XON, 11h) clears it and the byte is consumed without passing to the parser.
consumer_7bit_wrapper	0x0AB2-0x0AB5	seven_bit_parameter_reader	high	0AB2h: CALT ($0080) calls the full consumer at 0A0Bh. 0AB3h: ANI A,$7F masks to 7 bits. 0AB5h: RET.	Used by the ESC command dispatcher at 695Bh to read ESC sequence bytes with bit 7 stripped, matching ESC/P specification for 7-bit parameter values.
flow_control_release_busy	0x4EB9-0x4ECE	clear_software_busy_send_xon	high	4EB9h: DI; reads F001; clears bit 3 (software BUSY low = not busy); writes F001; EI. 4EC5h: checks VV0A bit 4; if clear, returns (parallel-only path). If set, sets VV0A bit 4 flag, loads A=11h (XON/DC1), and falls through to serial transmit at 4EE4h.	Called by the consumer when the buffer drains below the low-water threshold. Clears software BUSY to resume parallel transfers and sends XON to resume serial flow.
flow_control_set_busy	0x4ECF-0x4EDE	set_software_busy_send_xoff	high	4ECFh: DI; reads F001; ORs bit 3 (software BUSY high = busy); writes F001; EI. 4EDBh: checks VV0A bit 4; if set, returns (already sent XOFF). If clear, clears VV0A bit 4 flag, loads A=13h (XOFF/DC3), and falls through to serial transmit at 4EE4h.	Called by the serial ISR when the buffer exceeds the near-full threshold. Sets software BUSY to block parallel transfers and sends XOFF to stop serial flow.
flow_control_overflow_xoff	0x4EE2-0x4EE9	serial_overflow_send_xoff	high	4EE2h: loads A=13h (XOFF/DC3) and falls through to serial transmit at 4EE4h.	Called by the serial ISR when the buffer is completely full. Unlike 4ECFh, this does not toggle F001 software BUSY (the ISR path already leaves BUSY set).
serial_transmit_wait	0x4EE4-0x4EE9	serial_tx_byte	high	4EE4h: SKIT FST (check serial TX ready flag). 4EE6h: JR to 4EE4h if not ready (busy-wait). 4EE7h: MOV TXB,A to send the byte. 4EE9h: RET.	Shared serial transmit path for XON and XOFF. Busy-waits until the serial transmitter is free, then sends the byte in A.
f002_bank_write_helper	0x0B23-0x0B27	write_f002_bank_register	high	0B23h: MOV ($F002),A. 0B27h: RET.	Single-purpose helper for writing the F002 bank register. Called from multiple contexts where a banked ROM/window access is needed.
